index,name_BeSS,mag_BeSS,type_BeSS,_RAJ2000_BeSS,_DEJ2000_BeSS,conf_flag,_q,_r_CSC,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,GamPL,NHPL,_r_XMM,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_r_XRT,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,XRTsoft,XRTmed,XRThard,_RAJ2000_X,_DEJ2000_X,X_pos,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),Gamma,X_flux,index_X,Source,_RAJ2000_gaia,_DEJ2000_gaia,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,Flag,abs_BPmag,_q_X,_r_X,conf_flag_X2O
43,RX J0048.5-7302,14.84,Be,12.14217,-73.04203,0,43.0,0.553,J004834.0-730230,0.0,0.0,0.0,0.0,0.0,,,,,,,1.293,J004834.1-730232,1.74234e-17,7.28822e-17,2.90741e-16,1.94038e-16,2.3864e-15,4.54632e-16,8.53162e-15,1.37857e-15,1.35871e-14,6.41031e-15,2.50865e-14,6.59947e-15,8.41635e-15,9.87163e-16,0.929914,0.0957624,0.426405,0.082143,0.121537,0.0697561,-0.141977,0.0915074,1.72,52922.0,0.00111,0.000252,-0.000252,0.499,0.336,5.89e-05,-5.89e-05,0.000308,0.000132,-0.000132,0.000648,0.000188,-0.000188,5.79e-09,9.325e-14,9.57e-14,0.7183,0.78373,1.0,9.313733838057517e-15,2.7866840365764904e-14,5.606942579617758e-14,12.141821385,-73.041914941,CXO,2.775863356227068e-16,2.3864e-15,1.6993871762072532e-14,0.7182999849319458,XMM,1,4685949198438263040,12.1421695916234,-73.0420303926056,-0.0328,0.0282,-1.164,1.451,0.814,0.038,-1.202,0.031,0.235,16.0,0.993,14.787925,0.003112,14.783821,0.004885,14.66787,0.005961,19029.1699,14444.2422,24856.0352,16394.4062,11669.7773,22842.5352,10022.0,-1.6132782184418168,1.0,0.577,
48,RX J0049.2-7311,16.51,Be,12.306773,-73.193853,0,48.0,0.217,J004913.5-731137,2.2323395791287e-13,1.9938320933322e-13,2.1057212853247e-14,6.1156454173399e-15,0.0,,0.53841,0.76452,0.38226,1.23578,79.8939,0.168,J004913.5-731137,9.64714e-17,1.06254e-16,2.10661e-15,3.05596e-16,2.55486e-14,9.58774e-16,1.02287e-13,3.241e-15,2.34437e-13,1.23918e-14,3.58803e-13,1.29497e-14,8.79364e-14,2.10977e-15,0.944462,0.0637541,0.837244,0.0220778,0.18043,0.0233216,-0.155056,0.0266309,1.28,25781.0,0.0072,0.000378,-0.000378,0.785,0.489,0.000109,-9.09e-05,0.00169,0.000177,-0.000177,0.00518,0.000304,-0.000304,0.364,5.861e-13,7.28e-13,0.716,0.36478,-0.19207,1.749843445343783e-14,1.4527769999714664e-13,4.2332386554941553e-13,12.306609203,-73.193815843,CXO,6.560462436769913e-15,2.679225552074243e-14,3.007878903807121e-13,1.23578,CXO,2,4685944907831053184,12.306773051889,-73.1938526974673,0.0056,0.0367,0.1525,1.341,0.5,0.046,-1.244,0.043,0.0,0.0,0.992,16.404427,0.002906,16.492868,0.005837,16.216297,0.005369,11068.458,8620.13672,15595.542,9067.24121,8236.38379,9871.73828,10022.0,1.272432392777679,2.0,0.235,
50,RX J0049.5-7310,16.51,Be,12.374212,-73.182921,0,50.0,0.289,J004929.7-731058,3.3465458691756e-13,3.0672535580135e-13,2.7463462390203e-14,6.6978176116432e-15,1.537643632154e-13,,0.55715,0.78826,0.40974,0.895418,59.0719,0.517,J004929.8-731059,5.31504e-17,1.03501e-16,1.55887e-15,3.33536e-16,9.83815e-15,7.34435e-16,3.64096e-14,2.29448e-15,8.77427e-14,9.49533e-15,1.28363e-13,9.82284e-15,3.57063e-14,1.66269e-15,0.812339,0.106445,0.83831,0.0311373,0.160038,0.0352724,-0.107034,0.0419858,0.89,26395.0,0.0129,0.000523,-0.000523,0.707,0.532,0.000329,-0.000114,0.00273,0.000234,-0.000234,0.00936,0.000432,-0.000432,2.48e-06,1.179e-12,1.31e-12,0.3845,0.14882,-0.15587,4.552620409763219e-14,2.652328682411541e-13,8.682409276612138e-13,12.374059827,-73.182853791,CXO,6.498396245990086e-15,3.407119003623088e-14,5.043675905858782e-13,0.895418,CXO,3,4685944942190772224,12.3741886718539,-73.1829174867901,-0.0047,0.115,-0.0407,1.718,1.519,0.143,-0.803,0.132,1.32,144.0,3.31,16.201807,0.003264,16.221954,0.005059,15.949686,0.006047,5506.32373,4095.96826,9682.07422,3487.76782,2732.50659,3959.38037,10022.0,2.517645294880886,3.0,0.289,
52,RX J0049.7-7323,14.98,B2Ve,12.424958333333333,-73.38741944444445,0,52.0,0.049,J004942.0-732314,3.6398644578282e-14,2.8232364839924e-14,6.3152514844405e-15,1.9918265552461e-15,0.0,,0.30106,0.54841,0.29482,2.02198,82.7318,1.073,J004942.2-732314,9.75683e-16,2.76931e-16,5.07373e-15,5.37789e-16,4.5532e-14,1.61832e-15,1.14009e-13,4.33178e-15,5.58527e-13,2.46015e-14,7.60512e-13,2.51231e-14,1.36572e-13,3.28813e-15,0.781369,0.0406216,0.672771,0.0182669,0.141023,0.0167773,-0.024442,0.0186957,1.47,23322.0,0.0461,0.0012,-0.0012,0.657,0.481,0.0017,-0.000259,0.0104,0.000545,-0.000545,0.0296,0.000914,-0.000914,0.0,4.243e-12,4.66e-12,0.4693,0.090801,-0.092643,2.1630081726406256e-13,1.0449284379199757e-12,2.9817707448159615e-12,12.42500346,-73.387415107,CXO,2.7602082177810213e-15,8.586487807743175e-15,3.6129265297137504e-14,2.02198,CXO,4,4685927315640017792,12.425032528725,-73.3874101063203,-0.0301,0.0199,-1.5117,1.32,0.53,0.022,-1.209,0.025,0.09,2.32,1.035,14.796638,0.004103,14.840578,0.008287,14.654923,0.011583,22524.3223,17164.3086,28180.7051,27205.6895,18131.4688,34078.1172,10122.0,-1.9226806651149815,4.0,0.038,
60,DZ Tuc,15.44,Be,12.686208333333331,-73.2681,0,60.0,0.124,J005044.6-731605,4.0528414618719e-13,3.5645530817867e-13,3.7660337699568e-14,1.5959001742418e-14,2.6417862020065e-14,,0.52467,0.64085,0.17489,0.890331,29.4956,0.314,J005044.7-731605,8.74962e-16,1.88117e-16,1.24165e-14,6.04057e-16,5.70257e-14,1.31247e-15,2.05637e-13,4.15008e-15,6.95619e-13,2.05574e-14,9.69037e-13,2.10611e-14,1.94001e-13,2.83623e-15,0.850844,0.0269426,0.628668,0.0161802,0.120864,0.0147305,-0.073112,0.0172654,0.71,24913.0,0.018,0.000734,-0.000734,0.594,0.461,0.000777,-0.000187,0.00434,0.00035,-0.00035,0.0122,0.000586,-0.000586,0.0471,1.507e-12,1.64e-12,0.4513,0.13371,-0.13956,9.680038358194148e-14,3.800487966246668e-13,1.0301508197933917e-12,12.686215047,-73.268134447,CXO,1.546130535996302e-14,4.670451880759648e-14,5.869329360873679e-13,0.890331,CXO,5,4685928999266932864,12.6862831109248,-73.2681750456134,-0.0248,0.0245,-1.0117,1.448,0.679,0.028,-1.278,0.031,0.064,0.722,0.987,15.345635,0.003619,15.346321,0.0074,15.291616,0.007578,23639.7656,15648.8574,39283.1875,10989.6455,9595.06348,14631.5654,10122.0,-1.5218948299269606,5.0,0.185,
66,SMC 25,14.45,Be,12.966708333333331,-73.1761,0,66.0,0.51,J005152.0-731034,5.6989378204315e-13,4.3963088082397e-13,6.8430614320308e-14,7.1651962123379e-14,1.0331558847326e-12,,0.35228,0.19613,-0.1674,1.05488,3.41153e-06,0.076,J005152.0-731033,1.67824e-14,7.23706e-16,8.16662e-14,1.58246e-15,1.69244e-13,2.38365e-15,4.47806e-13,6.55794e-15,1.16929e-12,2.3304e-14,1.8916e-12,2.45248e-14,5.78084e-13,5.19251e-15,0.664199,0.0130507,0.297753,0.01052,-0.034882,0.00986319,-0.193246,0.0114051,1.11,46407.0,0.0701,0.0035,-0.0035,0.332,0.185,0.00985,-0.00129,0.0217,0.00183,-0.00183,0.0319,0.00226,-0.00226,0.00294,4.4e-12,4.57e-12,1.002,0.13672,1.0,7.466129746105559e-13,1.4887552128461984e-12,2.1646318125432457e-12,12.966978554,-73.17621813,CXO,7.281372147957837e-14,8.588435528901038e-14,6.935956936939022e-13,1.05488,CXO,6,4685938413838450688,12.9667710499964,-73.1761500185535,-0.0247,0.0178,-1.3862,1.375,0.643,0.022,-1.215,0.021,0.11,5.04,1.037,14.335338,0.00285,14.31789,0.003066,14.295343,0.004143,27128.6328,20173.7871,34559.5469,18071.3828,13905.2061,22709.0586,10122.0,-2.849249536007127,6.0,0.306,
67,2E 0050.1-7247,14.87,Be,12.971541666666663,-72.53013888888889,0,67.0,0.484,J005153.0-723148,2.8974960592146e-14,2.3013655119467e-14,4.2694109139624e-15,2.1731608378626e-15,0.0,,0.37102,0.37726,0.0,1.44646,30.0127,2.501,J005153.2-723146,5.69137e-16,2.11629e-16,1.94163e-15,3.49138e-16,4.45625e-16,2.17477e-16,2.96218e-16,4.0824e-16,1.4873e-15,2.60924e-15,6.94857e-15,2.87977e-15,3.08548e-15,6.41701e-16,0.495981,0.12058,-0.495421,0.128561,-0.629289,0.230321,0.461823,0.396909,1.95,16639.0,0.0597,0.00105,-0.00105,0.208,0.22,0.011,-0.000459,0.017,0.000551,-0.000551,0.0276,0.000716,-0.000716,0.0,3.715e-12,3.73e-12,,,,7.564798797531776e-13,1.1538228468962607e-12,1.8046972733505617e-12,12.971246288,-72.53023991,CXO,2.488388185165632e-15,5.5235787549237826e-15,3.305706469853355e-14,1.44646,CXO,7,4688984061034529408,12.9713995757856,-72.5302005290542,0.0078,0.031,0.2529,1.479,0.641,0.038,-1.332,0.036,0.282,22.6,1.279,14.86245,0.005819,14.718246,0.014218,14.968932,0.023374,13345.4316,9958.59473,17536.5703,11738.6992,9178.63086,15605.7158,10021.0,-0.908417118593416,7.0,0.213,
69,X SMC X-3,14.91,O9IVe,13.02345,-72.434514,0,69.0,0.618,J005205.6-722603,5.8291374613199e-15,3.9830125504711e-15,6.9385047018141e-16,1.3171534343028e-15,0.0,,0.29357,-0.25359,-0.49969,,,0.773,J005205.6-722603,3.79174e-15,3.47721e-16,2.35984e-14,8.29232e-16,8.91604e-14,1.64998e-15,3.12127e-13,5.15895e-15,8.5105e-13,2.07977e-14,1.29055e-12,2.15616e-14,3.16614e-13,3.54905e-15,0.662555,0.00456602,0.442941,0.0032729,-0.007716,0.0031241,-0.290036,0.0032895,1.1,5225.0,0.0623,0.000568,-0.000568,0.603,0.355,0.00433,-0.000154,0.018,0.000302,-0.000302,0.0378,0.000437,-0.000437,0.0,4.819e-12,5.18e-12,0.7685,0.02935,-0.028627,3.5642809565967134e-13,1.439179439149756e-12,3.023392465190573e-12,13.023399149,-72.434343041,CXO,1.2328089864222582e-15,8.53161604584721e-16,6.7771307202494824e-15,0.7684999704360962,CXO,8,4688985847741087744,13.02343817156,-72.4345079925074,-0.0401,0.0207,-1.9391,1.475,0.775,0.024,-1.255,0.027,0.105,3.19,1.029,14.810769,0.003035,14.805577,0.005241,14.744729,0.00966,25974.2832,18337.9805,34372.375,22625.6289,18232.6758,25884.5879,10012.0,-2.26714085687658,8.0,0.616,
71,2E 0050.4-7335,14.67,Be,13.058291666666666,-73.3219,0,71.0,0.258,J005214.0-731918,7.582223629094e-16,0.0,4.4861724484991e-16,6.3043756612218e-16,0.0,,0.34978,-0.08869,-0.41849,,,3.906,J005214.7-731916,7.63752e-17,1.19235e-16,2.16206e-15,3.42567e-16,7.55817e-15,6.35875e-16,1.94166e-14,1.73053e-15,5.85879e-14,9.69194e-15,9.03127e-14,1.00112e-14,2.36509e-14,1.33056e-15,0.901853,0.0957038,0.568484,0.0557266,-0.037746,0.054504,0.01544,0.0723,0.84,34857.0,0.467,0.00365,-0.00365,0.645,0.156,0.0379,-0.00102,0.179,0.0024,-0.0024,0.253,0.00276,-0.00276,0.0,2.934e-11,3.38e-11,1.392,0.02722,-0.02388,2.4489641800524847e-12,1.1348017116017851e-11,1.5543018703929663e-11,13.05853852,-73.321910468,CXO,7.096490098513632e-16,5.778600574046372e-16,0.0,1.3919999599456787,CXO,9,4685885980866646656,13.0583154040167,-73.321892482882,-0.0646,0.017,-3.8001,1.358,0.651,0.021,-1.192,0.019,0.0,0.0,0.916,14.569972,0.003252,14.611802,0.007837,14.445728,0.005046,38760.6641,28344.5996,68027.3594,32283.7773,22519.4629,46015.2031,11022.0,-3.3301540468078095,9.0,0.225,
73,2E 0051.1-7214,15.53,Be,13.229999999999999,-71.9683,0,73.0,,,,,,,,,,,,,,2.16,J005255.3-715807,1.33875e-14,8.39208e-16,5.32856e-14,1.61758e-15,1.40485e-13,2.69977e-15,5.0818e-13,8.65426e-15,1.75821e-12,4.1334e-14,2.49177e-12,4.24654e-14,5.17177e-13,6.10417e-15,0.568221,0.0225223,0.420545,0.0145956,0.122699,0.0125763,-0.094035,0.0142397,1.67,105304.0,0.0247,0.00161,-0.00161,0.46,0.264,0.0027,-0.000558,0.00752,0.000881,-0.000881,0.0134,0.00118,-0.00118,0.146,1.762e-12,1.82e-12,0.8793,0.18928,-0.16342,2.1109327674351307e-13,5.707336741583872e-13,9.801730490980997e-13,13.23061611,-71.96886889,XMM,5.911152361706857e-14,1.40485e-13,1.7825994831139869e-12,0.8792999982833862,XMM,75,4689080337014302336,13.23027340131,-71.968413284232,-0.077,0.0261,-2.9469,1.415,0.703,0.033,-1.228,0.032,0.0,0.0,0.933,15.465887,0.003031,15.457437,0.005681,15.42253,0.004763,28407.5859,20071.5488,40049.6484,24142.8984,16437.5957,30848.7246,10021.0,-1.8097346429448873,75.0,1.662,
80,Cl* NGC 330 ELS 055592,16.68,B3IVe,13.344666666666665,-72.19880555555557,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48,11830.0,0.000249,0.00017,-0.00017,-0.615,0.34,0.000234,-0.000117,0.0,4.59e-05,0.0,0.0,5.96e-05,0.0,0.516,1.168e-14,1.47e-14,,,,6.781258238466147e-15,1.6165847813061713e-15,3.2821569802276813e-15,13.34928,-72.19692,XRT,6.781258238466147e-15,1.6165847813061713e-15,3.2821569802276813e-15,2.0,XRT,132,4689061817113480704,13.3508654153838,-72.1969298734553,0.0338,0.0472,0.7145,1.401,0.697,0.052,-1.216,0.06,0.388,41.7,2.414,14.67092,0.002949,14.516491,0.007929,14.315237,0.024435,9132.81152,7035.54443,11894.957,7613.64893,6379.20068,9210.57227,10020.0,-0.28653147455915295,132.0,1.757,4.0
82,CXOU J005323.8-722715,16.19,Be,13.349583333333332,-72.4542,0,82.0,0.418,J005323.8-722715,2.4172833862659e-13,2.0689979301993e-13,2.4015664959591e-14,1.1740500071705e-14,3.8704558094081e-15,,0.4822,0.58963,0.14741,0.886785,26.4723,0.583,J005323.8-722715,2.46548e-15,2.48633e-16,1.70091e-14,5.83203e-16,5.76202e-14,1.07695e-15,1.91054e-13,3.28613e-15,4.56545e-13,1.16496e-14,7.24506e-13,1.22374e-14,1.98842e-13,2.37208e-15,0.732062,0.0238031,0.523565,0.0139716,0.084874,0.0124369,-0.236643,0.0138488,1.0,4024.0,0.0115,0.00024,-0.00024,0.622,0.346,0.000735,-6.92e-05,0.00339,0.000127,-0.000127,0.00712,0.000184,-0.000184,4.94e-11,8.708e-13,9.62e-13,0.8218,0.061718,-0.066148,6.166116798406972e-14,2.645883980692092e-13,5.445504339467211e-13,13.349516327,-72.45431442,CXO,1.136282997929095e-14,2.977554776631708e-14,3.4099837250156334e-13,0.886785,CXO,10,4689005260999717760,13.3494122598262,-72.4542905358298,0.0096,0.0332,0.2902,1.474,0.65,0.04,-1.323,0.042,0.037,0.117,0.888,16.185415,0.003143,16.124111,0.004636,16.27051,0.014973,15631.5186,11142.4043,22607.2988,11711.7617,9516.61621,15392.2881,10022.0,0.15410514139380815,10.0,0.121,
92,Cl* NGC 330 ELS 065055,14.72,B1IIIe,13.480583333333332,-72.44591666666668,0,92.0,0.284,J005355.3-722645,6.6965195523638e-15,3.5559678595745e-15,1.5013347562725e-15,1.6729236065701e-15,0.0,,-0.03498,-0.30981,-0.27608,,,1.315,J005355.5-722644,4.28066e-16,1.44298e-16,1.51625e-15,2.2385e-16,5.33826e-16,1.72027e-16,1.16369e-15,3.93096e-16,1.01401e-15,1.29417e-15,6.48374e-15,1.50648e-15,4.96288e-15,5.28314e-16,0.726733,0.0227045,0.496659,0.0146179,0.078942,0.0133539,-0.105014,0.0158068,0.7,3609.0,1.15,0.00937,-0.00937,0.527,0.346,0.101,-0.00283,0.33,0.00499,-0.00499,0.679,0.00717,-0.00717,0.0,9.036e-11,9.41e-11,0.7144,0.025086,-0.025187,8.310823912644031e-12,2.6830080580565402e-11,5.521909550679057e-11,13.480639219,-72.445993786,CXO,1.5423518056585438e-15,1.839211379313441e-15,6.141170212047034e-15,0.7143999934196472,CXO,11,4689005432797634944,13.480483228029,-72.4459501650453,-0.0412,0.0191,-2.1602,1.408,0.678,0.024,-1.234,0.023,0.104,3.47,0.987,14.664824,0.003054,14.632143,0.004874,14.606682,0.008292,25483.3027,19350.9297,32414.7129,22598.0684,18398.2695,29353.8965,10021.0,-2.39913556483031,11.0,0.21,
117,Cl* NGC 330 ELS 016486,15.58,B1IIIe,13.693416666666666,-72.4229888888889,0,117.0,0.495,J005446.3-722522,2.4237047554565e-14,2.0432853895998e-14,3.4037848659614e-15,1.1991294635575e-15,0.0,,0.36227,0.61087,0.3148,2.05342,95.6722,0.728,J005446.3-722523,1.1963e-16,8.4906e-17,7.24248e-16,1.63686e-16,2.52316e-15,2.63418e-16,1.80146e-14,1.0792e-15,5.46261e-14,5.4094e-15,8.00902e-14,5.58216e-15,2.2547e-14,8.87191e-16,0.835946,0.0831672,0.78198,0.0273222,0.195384,0.0243039,0.003597,0.0263563,1.23,3157.0,0.00126,0.000118,-0.000118,0.158,0.402,0.000155,-6.16e-05,0.000333,6.05e-05,-6.05e-05,0.000789,8.6e-05,-8.6e-05,9.41e-11,1.54e-13,1.55e-13,,,,2.75016931984071e-14,3.7822993733676274e-14,8.867531306791662e-14,13.692969448,-72.423015047,CXO,1.6800333130680674e-15,4.6413161954515e-15,2.6004567233683923e-14,2.05342,CXO,12,4689006257431240960,13.69320939337,-72.4229988271275,-0.036,0.0265,-1.3626,1.43,0.699,0.031,-1.247,0.031,0.096,1.48,1.012,15.482405,0.002894,15.45147,0.005303,15.366459,0.00531,18205.9082,14140.6123,24039.0488,24066.2871,15670.7139,32403.4043,10012.0,-0.8495917427465045,12.0,0.275,
140,Cl* NGC 330 KWBBE 1054,16.66,Be,13.896433,-72.485176,2,140.0,0.281,J005535.1-722906,4.0137368679845e-14,3.1694072746719e-14,6.1940285149859e-15,2.9864433725893e-15,1.7473719248336e-12,,0.34229,0.43598,0.10119,,,0.333,J005535.0-722906,4.35793e-16,1.20145e-16,4.95243e-15,3.5665e-16,1.28481e-14,5.72786e-16,4.37897e-14,1.69159e-15,1.53499e-13,8.85162e-15,2.2225e-13,9.16263e-15,6.36924e-14,1.48597e-15,0.812333,0.0287028,0.58891,0.0172265,0.082048,0.0153274,-0.036998,0.0176577,0.84,5379.0,0.00535,0.000225,-0.000225,0.52,0.369,0.000332,-7.81e-05,0.00166,0.000117,-0.000117,0.00359,0.000165,-0.000165,0.0,4.328e-13,4.82e-13,0.644,0.11372,-0.11523,3.9213631359785575e-14,1.2417649930598765e-13,2.694098693342268e-13,13.896299965,-72.485242923,CXO,2.7003859285777635e-15,7.55202227129605e-15,5.5820335809394215e-14,0.6439999938011169,CXO,13,4688993200726721408,13.8964325530194,-72.4851763919786,-0.0173,0.0196,-0.8814,1.424,0.684,0.026,-1.249,0.022,0.092,2.74,0.917,14.671276,0.003206,14.634916,0.004896,14.671101,0.007686,20287.8438,15477.2461,27231.8926,19264.248,15653.833,23077.3672,10021.0,-1.90126346249005,13.0,0.268,
151,Cl* NGC 330 G 68,17.4,B5IVe,13.957651,-72.45288,2,151.0,,,,,,,,,,,,,,2.735,J005549.2-722709,5.07501e-17,1.34041e-16,5.93258e-16,2.75899e-16,1.51067e-15,4.60349e-16,1.97116e-16,4.65747e-16,4.63084e-15,4.21463e-15,7.76243e-15,4.35952e-15,2.74834e-15,7.7381e-16,0.966707,0.195056,0.279471,0.219535,-0.923566,0.179716,0.871406,0.331023,5.23,8272.0,0.0,5.69e-05,0.0,-0.297,0.137,0.0,0.0,0.0,2.76e-05,0.0,0.0,2.39e-05,0.0,0.968,0.0,0.00e+00,,,,,,,13.95531694,-72.45259389,XMM,4.817633735202356e-16,1.51067e-15,4.336684448672886e-15,2.0,XMM,76,4688994437677212672,13.9576509061781,-72.452880173364,-0.4235,0.1082,-3.9129,1.206,0.878,0.131,-0.827,0.123,0.808,10.7,1.385,17.744076,0.00318,17.66579,0.006,17.799032,0.011999,10240.4072,7210.25342,15392.4873,9127.50586,7356.71631,11409.4707,10022.0,2.6142038685602422,76.0,2.753,4.0
164,2E 0054.4-7237,15.88,Be,14.021708333333333,-72.3667,0,164.0,1.49,J005605.5-722159,0.0,0.0,0.0,0.0,0.0,,,,,,,1.578,J005605.5-722159,8.21068e-17,1.20375e-16,2.14661e-16,1.74134e-16,3.18965e-15,4.19222e-16,9.71445e-15,1.19583e-15,1.04863e-14,3.51441e-15,2.88835e-14,4.12366e-15,9.83646e-15,8.97966e-16,0.42769,0.415311,0.881626,0.0800239,0.055846,0.0811863,-0.489517,0.0826985,4.83,5767.0,0.000505,0.000232,-0.000232,-0.078,0.321,0.0,0.0,0.000129,0.000113,-0.000113,0.000377,0.00015,-0.00015,0.8,2.398e-14,3.05e-14,,,,6.813939320533455e-15,5.827877600678892e-15,1.1338183078787653e-14,14.022998573,-72.36656423,CXO,2.2200319604703514e-16,3.18965e-15,1.814521059772061e-14,2.0,XMM,14,4689006875906895616,14.0230616488193,-72.3665144860997,-0.01,0.0329,-0.3041,1.447,0.712,0.042,-1.26,0.04,0.133,1.83,0.968,15.97395,0.002967,15.884355,0.004735,16.122932,0.005565,18270.6055,12797.7051,24212.4727,10306.0137,8786.00586,13189.1543,10112.0,-0.4244097019929356,14.0,0.178,
190,Cl* NGC 330 KWBBE 222,15.96,B2IIIe,14.074344,-72.467921,2,190.0,,,,,,,,,,,,,,3.974,J005618.6-722803,3.96489e-17,8.78095e-17,2.65225e-15,3.59766e-16,5.76951e-15,5.2552e-16,1.9136e-14,1.5541e-15,7.07796e-14,8.42747e-15,9.93576e-14,8.61468e-15,2.1417e-14,1.17609e-15,0.931084,0.0661959,0.317363,0.0701562,0.104665,0.0573924,0.02786,0.0654995,2.71,13539.0,0.00808,0.00106,-0.00106,0.212,0.385,0.000259,-0.000259,0.00202,0.000535,-0.000535,0.00532,0.000776,-0.000776,3.33e-08,7.72e-13,8.86e-13,,,,1.286268539719867e-13,1.9783724240361408e-13,4.455359036243992e-13,14.07782194,-72.46757306,XMM,2.0137297888635434e-15,5.76951e-15,8.076618432584964e-14,2.0,XMM,77,4688993475604470400,14.0803943808664,-72.4669062296533,0.9493,0.149,6.3714,2.325,-0.393,0.177,-2.292,0.157,1.476,189.0,3.646,16.035002,0.004119,15.486712,0.013517,15.637406,0.01026,1018.35132,912.294373,1212.61829,1070.94556,886.178528,1261.86609,10022.0,5.447223846657517,77.0,3.652,4.0
216,Cl* NGC 330 ELS 004509,16.52,B2IVe,14.1575,-72.302182,2,216.0,,,,,,,,,,,,,,2.638,J005638.1-721810,2.07695e-17,1.86172e-16,4.42807e-16,4.48533e-16,5.5876e-16,6.99303e-16,8.26626e-15,2.75736e-15,0.0,7.78038e-15,1.04177e-14,8.35196e-15,7.35648e-15,2.05862e-15,0.799818,0.232842,-0.346789,0.432034,0.647248,0.353686,-1.0,0.49275,,,,,,,,,,,,,,,,,,,,,,,,,14.15875194,-72.30280806,XMM,3.4678784090557796e-16,5.5876e-16,7.425121768029106e-15,2.0,XMM,78,4689013709181406592,14.1588930777638,-72.3030919081424,0.0116,0.8538,0.0136,8.717,8.708,1.079,0.399,1.228,3.963,4.34,1.236,20.56907,0.01319,20.221716,0.055644,20.152634,0.10408,1536.4657,944.717957,2471.85327,715.831055,684.421753,735.676208,10112.0,9.289101652361804,78.0,1.057,4.0
217,gam Cas,2.47,B0IVpe,14.177208333333333,60.71674166666667,0,217.0,,,,,,,,,,,,,,0.606,J005642.4+604300,4.45948e-12,9.01023e-15,1.43329e-11,1.42089e-14,3.00362e-11,2.03239e-14,6.14234e-11,4.72037e-14,1.06518e-10,1.24426e-13,2.17332e-10,1.36272e-13,9.78278e-11,3.89812e-14,0.600852,0.000704471,0.361398,0.000515199,-0.124144,0.000498733,-0.375511,0.000587793,,,,,,,,,,,,,,,,,,,,,,,,,14.17688194,60.71668806,XMM,1.405802253927273e-11,3.00362e-11,1.5085242236431996e-10,2.0,XMM,79,426558460884582016,14.17745099821,60.71672280471,,,,,,,,,2.042,2970.0,,2.064583,0.006459,2.725843,0.056703,2.315109,0.036769,,,,,,,,,79.0,1.01,
228,RX J0057.4-7325,15.67,Be,14.362499999999997,-73.42209722222222,0,228.0,0.487,J005727.1-732519,8.2139828225397e-13,7.092005504689e-13,7.5932139874396e-14,4.8511352327064e-14,0.0,,0.4822,0.51343,0.03998,0.698495,10.146,,,,,,,,,,,,,,,,,,,,,,,,,1.24,150891.0,0.0133,0.00211,-0.00211,0.481,0.046,0.00155,-0.000777,0.00533,0.00128,-0.00128,0.00581,0.00136,-0.00136,0.0467,7.236e-13,8.61e-13,1.48,0.48456,-0.39962,1.0363324148440063e-13,2.957241438119409e-13,3.2424261470365846e-13,14.362974102,-73.422093612,CXO,4.45282877570024e-14,9.292021355742792e-14,1.2302012348526144e-12,0.698495,CXO,15,4685702877789513856,14.3627220625519,-73.4220721693241,0.0293,0.0285,1.0304,1.511,0.793,0.033,-1.286,0.032,0.072,0.726,0.953,15.625085,0.003309,15.581367,0.006099,15.631404,0.007717,11827.8643,9461.81738,15530.7705,12084.1299,9569.46875,14792.6494,10022.0,0.21683533369005836,15.0,0.253,
